연번,과목명,책형,1번,2번,3번,4번,5번,6번,7번,8번,9번,10번,11번,12번,13번,14번,15번,16번,17번,18번,19번,20번,21번,22번,23번,24번,25번
39,자료구조론,가,1,2,4,1,4,3,4,4,4,1,2,3,2,3,3,2,1,3,2,1,2,2,3,3,3
40,재난관리론,가,1,1,3,4,2,4,2,4,2,2,2,3,1,3,4,3,4,1,4,2,1,4,4,2,3
41,재배학,가,3,1,2,2,1,4,1,3,4,2,4,4,2,4,4,3,2,1,1,3,2,4,1,1,3
42,전기기기,가,1,4,1,3,2,2,3,2,3,1,2,4,1,3,2,4,1,2,3,4,4,1,2,3,3
43,전기자기학,가,3,3,4,2,4,1,3,1,4,1,1,3,2,2,2,3,2,4,3,3,4,4,3,4,1
44,전달현상,가,3,3,4,2,3,2,2,2,1,4,3,2,1,4,3,1,3,2,2,1,4,1,3,1,4
연번,과목명,책형,1번,2번,3번,4번,5번,6번,7번,8번,9번,10번,11번,12번,13번,14번,15번,16번,17번,18번,19번,20번,21번,22번,23번,24번,25번
45,전자회로,가,3,1,4,3,3,2,4,4,2,3,3,4,2,3,3,2,2,1,2,4,1,1,4,1,1
46,정보보호론,가,2,1,2,2,3,3,3,1,4,3,4,1,4,4,2,3,2,4,3,3,2,4,2,1,4
47,조경학,가,2,2,3,1,1,4,4,4,3,3,2,1,2,4,3,1,4,2,3,2,1,4,3,2,3
48,조림학,가,2,3,2,4,3,4,3,1,2,2,1,4,2,4,1,1,1,2,3,3,2,4,2,4,3
49,중국어,가,2,1,4,1,2,1,1,1,3,4,3,2,4,4,2,4,3,4,2,4,1,3,2,1,1
50,토양학,가,3,2,1,1,4,3,3,4,2,2,2,2,3,3,2,4,3,4,1,4,4,2,1,4,1
51,토질역학,가,2,2,3,1,2,3,2,3,1,4,4,2,4,4,4,1,3,3,1,1,3,4,2,3,4
52,통계학,가,2,2,1,2,4,1,4,2,1,2,2,3,1,4,2,4,2,1,4,3,1,3,3,4,3
53,통신이론,가,3,3,1,3,4,1,4,2,4,2,1,2,1,4,3,4,3,2,2,3,2,1,3,4,1
54,행정법,가,1,3,4,4,1,3,2,2,2,2,3,4,3,1,4,2,1,1,4,3,4,3,2,4,4
55,행정학,가,2,4,1,2,1,3,4,2,2,3,4,4,1,4,1,3,3,1,4,1,3,3,2,4,2
56,헌법,가,2,1,2,2,2,2,4,3,2,2,1,3,3,3,4,1,1,1,4,1,3,1,3,4,3
57,형법,가,1,2,4,2,4,1,3,1,2,4,3,2,1,2,3,1,4,4,3,3,4,4,3,2,1
58,형사소송법,가,4,1,2,3,2,3,1,1,4,1,4,3,2,2,4,4,4,3,1,3,3,3,4,2,2
59,형사정책,가,1,3,4,1,2,3,3,2,2,3,3,2,4,3,1,4,4,1,4,4,4,1,3,1,4
60,화공열역학,가,1,4,4,4,3,2,3,1,3,1,4,1,2,3,2,3,2,1,3,3,1,2,2,4,4
61,화학개론,가,4,1,1,3,2,4,4,2,1,3,3,2,3,2,1,2,1,4,3,4,1,3,3,1,4
62,회계학,가,2,2,3,4,4,4,1,1,1,4,2,2,1,2,3,4,3,4,1,1,4,3,3,2,3
63,회로이론,가,2,3,1,1,4,1,3,4,3,1,4,3,4,3,2,4,1,4,2,2,2,4,2,2,2
