연번,과목명,책형,1번,2번,3번,4번,5번,6번,7번,8번,9번,10번,11번,12번,13번,14번,15번,16번,17번,18번,19번,20번,21번,22번,23번,24번,25번
20,방재관계법규,나,3,4,2,1,1,1,3,3,4,2,2,4,1,1,4,3,2,1,4,2,4,3,1,4,4
21,생물학개론,나,1,2,4,3,3,3,1,3,2,1,2,3,4,4,2,4,1,3,3,1,2,2,4,3,1
22,세법,나,4,1,1,3,2,2,4,4,4,2,2,1,3,1,2,4,3,1,2,4,2,4,4,2,3
23,소프트웨어공학,나,3,1,2,1,3,1,2,2,4,3,2,2,4,1,2,3,4,4,3,4,1,3,4,1,4
24,수리수문학,나,3,3,1,4,2,2,4,1,3,1,3,1,3,2,2,2,1,4,1,3,4,4,4,1,2
25,식용작물학,나,4,1,4,2,3,1,2,2,3,3,4,3,2,2,1,3,3,1,3,4,4,2,3,4,1
26,심리학,나,3,1,4,3,3,2,2,3,2,2,1,4,2,3,3,4,3,1,4,1,1,4,1,4,1
27,안전관리론,나,4,1,2,3,4,4,2,3,3,2,3,2,4,3,1,4,1,2,1,2,4,4,3,4,1
28,알고리즘,나,3,2,3,4,1,4,4,4,2,3,4,1,1,3,4,4,3,3,2,1,4,3,2,1,2
29,응용역학,나,2,1,3,3,2,4,3,3,4,4,1,1,3,2,4,1,2,3,4,2,4,2,1,2,1
30,인공지능,나,1,4,4,1,3,2,2,4,3,1,2,3,3,2,1,4,1,4,4,2,3,1,3,1,2
31,인사조직론,나,3,3,3,4,1,4,4,1,1,1,4,3,2,4,4,2,2,4,3,1,3,4,2,2,2
32,임업경영학,나,3,1,4,1,2,1,1,4,3,3,3,2,4,3,4,4,3,1,2,1,1,2,2,2,3
33,자동제어,나,4,3,4,1,4,1,3,4,2,4,3,4,4,2,1,3,4,2,1,2,1,2,2,3,1
34,자료구조론,나,3,1,4,4,3,1,3,1,3,4,1,1,4,4,3,2,2,3,2,4,2,3,1,2,4
35,재난관리론,나,4,1,1,3,2,1,1,3,2,2,4,4,3,4,1,2,4,1,2,2,3,3,4,2,3
36,재배학,나,1,2,3,3,4,4,2,4,2,1,1,1,3,4,3,3,4,2,3,2,4,2,3,4,1
37,전기기기,나,4,4,1,2,4,4,3,1,3,2,1,3,3,2,1,4,2,1,2,4,3,2,4,4,2
38,전기자기학,나,3,2,4,3,4,3,4,3,2,2,2,4,1,1,4,2,2,4,3,1,3,2,4,2,1
연번,과목명,책형,1번,2번,3번,4번,5번,6번,7번,8번,9번,10번,11번,12번,13번,14번,15번,16번,17번,18번,19번,20번,21번,22번,23번,24번,25번
39,전달현상,나,2,3,1,4,2,4,2,2,3,4,3,2,1,4,2,4,3,2,1,1,2,3,1,4,3
40,전자회로,나,2,3,1,4,1,4,2,2,3,3,1,2,1,4,3,3,4,2,4,3,3,1,4,3,2
41,정보보호론,나,1,4,3,1,3,2,1,3,4,4,3,2,2,2,3,4,3,4,4,1,1,1,3,2,2
42,조경학,나,2,2,1,2,1,2,4,4,3,4,3,4,2,1,3,4,4,3,4,4,3,3,1,2,3
43,조림학,나,2,1,4,2,3,3,1,3,4,1,2,3,4,4,1,2,1,3,3,1,1,4,4,2,1
44,토양학,나,3,2,1,3,1,2,3,4,4,3,2,4,2,1,4,2,3,3,4,2,2,2,1,3,1
45,토질역학,나,4,4,2,4,3,1,1,3,4,2,3,2,3,3,1,2,1,2,4,1,1,2,2,4,4
46,통계학,나,4,2,2,1,3,2,4,4,3,1,1,1,4,3,4,2,1,1,2,2,4,3,2,3,3
47,통신이론,나,3,1,4,1,3,4,3,1,2,2,2,1,4,3,1,1,3,2,2,1,2,4,4,3,4
48,행정법,나,1,1,2,2,2,4,4,1,2,1,2,4,3,4,3,3,4,4,1,2,1,4,3,3,1
49,행정학,나,3,4,4,2,1,3,2,4,2,3,3,1,2,4,1,2,1,1,2,1,4,3,3,4,3
50,헌법,나,1,4,4,3,2,4,4,3,3,3,1,2,3,4,4,1,2,4,2,2,2,1,1,2,4
51,형법,나,2,3,1,4,2,1,4,1,2,3,3,4,2,3,2,2,3,1,4,3,3,2,4,1,1
52,형사소송법,나,4,1,4,2,1,3,1,3,4,3,3,4,1,4,3,4,2,3,2,1,2,4,2,3,2
53,형사정책,나,3,2,3,2,4,4,3,4,3,3,3,1,4,2,3,1,2,2,1,4,3,1,2,1,2
54,화공열역학,나,3,3,4,4,2,1,2,4,3,2,2,1,2,4,1,3,1,3,4,3,2,2,1,3,3
55,화학개론,나,2,1,1,3,2,3,4,1,4,4,2,3,1,1,4,3,4,2,4,2,3,2,3,3,4
56,회계학,나,1,2,2,4,2,4,1,2,3,4,3,1,4,2,3,3,1,1,4,3,3,4,2,3,4
57,회로이론,나,2,3,1,2,1,3,2,4,2,4,3,3,3,1,1,4,2,1,1,2,2,3,4,2,4
