연번,과목명,책형,1번,2번,3번,4번,5번,6번,7번,8번,9번,10번,11번,12번,13번,14번,15번,16번,17번,18번,19번,20번
19,식용작물,S,4,3,4,2,3,4,3,3,4,2,3,2,4,1,1,1,4,1,2,2
,,T,3,2,4,1,1,1,4,1,2,2,4,3,4,2,3,4,3,3,4,2
20,영어,S,2,1,1,3,"1,3",1,1,2,4,3,3,4,2,4,4,2,2,3,4,4
,,T,1,2,"1,3",3,1,2,1,1,4,2,2,3,4,4,3,3,4,2,4,4
21,응용역학
개론,S,2,4,3,2,1,3,1,4,4,1,1,3,3,1,4,1,2,2,3,2
,,T,1,3,3,1,4,1,2,2,3,2,2,4,3,2,1,3,1,4,4,1
22,임업경영,S,2,3,1,1,4,1,3,3,2,3,1,4,3,4,1,4,2,2,3,2
,,T,1,4,3,4,1,4,2,2,3,2,2,3,1,1,4,1,3,3,2,3
23,재배학
개론,S,2,2,2,4,4,3,2,1,4,4,1,1,3,4,3,1,2,1,3,4
,,T,1,1,3,4,3,1,2,1,3,4,2,2,2,4,4,3,2,1,4,4
24,전기기기,S,2,3,1,2,1,2,2,3,4,1,3,4,2,4,4,3,1,2,3,1
,,T,3,4,2,4,4,3,1,2,3,1,2,3,1,2,1,2,2,3,4,1
25,전기이론,S,1,1,4,2,4,2,4,2,1,4,4,3,3,2,3,1,3,2,1,2
,,T,4,3,3,2,3,1,3,2,1,2,1,1,4,2,4,2,4,2,1,4
연번,과목명,책형,1번,2번,3번,4번,5번,6번,7번,8번,9번,10번,11번,12번,13번,14번,15번,16번,17번,18번,19번,20번
26,전자공학
개론,S,4,3,1,3,4,2,4,1,1,2,1,2,3,4,1,2,4,2,3,4
,,T,1,2,3,4,1,2,4,2,3,4,4,3,1,3,4,2,4,1,1,2
27,정보
보호론,S,3,1,3,3,4,1,4,2,4,1,4,3,2,2,4,3,1,2,4,3
,,T,4,3,2,2,4,3,1,2,4,3,3,1,3,3,4,1,4,2,4,1
28,조림,S,3,2,3,1,3,4,4,2,4,1,4,4,1,2,2,2,3,3,3,1
,,T,4,4,1,2,2,2,3,3,3,1,3,2,3,1,3,4,4,2,4,1
29,컴퓨터
일반,S,4,3,2,2,1,1,2,4,1,1,3,4,3,2,4,4,3,2,3,3
,,T,3,4,3,2,4,4,3,2,3,3,4,3,2,2,1,1,2,4,1,1
30,토목설계,S,1,2,4,3,4,1,4,2,2,3,4,1,2,4,4,2,3,1,1,3
,,T,4,1,2,4,4,2,3,1,1,3,1,2,4,3,4,1,4,2,2,3
31,통계학
개론,S,1,3,2,4,4,4,2,4,3,1,2,3,1,3,1,2,4,2,3,2
,,T,2,3,1,3,1,2,4,2,3,2,1,3,2,4,4,4,2,4,3,1
32,한국사,S,3,2,2,4,4,2,2,4,1,4,3,2,3,1,1,2,1,3,4,4
,,T,3,2,3,1,1,2,1,3,4,4,3,2,2,4,4,2,2,4,1,4
33,행정법
총론,S,4,4,3,1,1,2,4,1,2,2,2,1,4,2,3,3,3,2,4,1
,,T,4,1,1,4,3,1,4,2,1,4,2,3,2,2,2,2,4,1,3,3
34,행정학
개론,S,2,4,4,2,1,1,3,3,2,4,3,1,4,3,2,1,4,3,3,2
,,T,3,1,4,3,2,1,4,3,3,2,2,4,4,2,1,1,3,3,2,4
35,형법,S,4,3,3,4,2,3,4,2,3,4,2,2,1,4,3,1,1,1,4,3
,,T,2,2,1,4,3,1,1,1,4,3,4,3,3,4,2,3,4,2,3,4
36,형법총론,S,3,1,3,2,4,3,3,4,2,2,2,1,4,3,1,1,3,4,4,2
,,T,2,1,4,3,1,1,3,4,4,2,3,1,3,2,4,3,3,4,2,2
37,형사
소송법,S,4,4,1,2,1,3,4,2,3,3,3,1,4,4,2,4,1,3,2,3
,,T,3,1,4,4,2,4,1,3,2,3,4,4,1,2,1,3,4,2,3,3
38,형사소송법
개론,S,4,4,1,2,2,3,4,2,3,3,3,1,2,3,1,4,4,4,2,3
,,T,3,1,2,3,1,4,4,4,2,3,4,4,1,2,2,3,4,2,3,3
연번,과목명,책형,1번,2번,3번,4번,5번,6번,7번,8번,9번,10번,11번,12번,13번,14번,15번,16번,17번,18번,19번,20번
39,화학공학
일반,S,4,2,4,1,4,4,1,2,3,2,1,2,4,3,2,3,1,3,4,2
,,T,1,2,4,3,2,3,1,3,4,2,4,2,4,1,4,4,1,2,3,2
40,회계원리,S,1,4,2,1,4,2,2,1,4,3,3,1,3,4,4,1,2,4,3,2
,,T,3,1,3,4,4,1,2,4,3,2,1,4,2,1,4,2,2,1,4,3
41,회계학,S,3,3,2,4,2,1,2,1,3,4,3,4,4,2,4,2,2,1,1,1
,,T,3,4,4,2,4,2,2,1,1,1,3,3,2,4,2,1,2,1,3,4
