24,생물학개론,나,￿3,￿3,￿2,￿3,￿1,￿2,￿3,￿3,￿1,￿3,￿4,￿4,￿4,￿1,￿4,￿2,￿3,￿2,￿2,￿4,￿3,￿4,￿2,￿1,￿4
25,세법,나,￿2,￿2,￿4,￿4,￿2,￿4,￿3,￿4,￿2,￿2,￿1,￿1,￿4,￿1,￿3,￿2,￿4,￿3,￿1,￿2,￿2,￿1,￿1,￿3,￿3
26,소프트웨어공학,나,￿3,￿2,￿2,￿4,￿3,￿3,￿1,￿4,￿1,￿1,￿1,￿4,￿2,￿4,￿4,￿3,￿2,￿2,￿1,￿2,￿4,￿3,￿3,￿1,￿4
27,수리수문학,나,￿2,￿3,￿1,￿3,￿2,￿4,￿2,￿1,￿3,￿3,￿1,￿2,￿4,￿4,￿3,￿3,￿2,￿1,￿2,￿1,￿2,￿4,￿4,￿3,￿2
28,스페인어,나,￿4,￿3,￿1,￿4,￿2,￿3,￿2,￿1,￿1,￿4,￿1,￿3,￿3,￿2,￿4,￿4,￿2,￿2,￿3,￿2,￿1,￿4,￿1,￿2,￿4
29,식용작물학,나,￿3,￿4,￿1,￿1,￿3,￿3,￿1,￿2,￿1,￿4,￿1,￿3,￿4,￿4,￿2,￿4,￿3,￿3,￿3,￿1,￿4,￿2,￿4,￿2,￿2
30,심리학,나,￿4,￿2,￿4,￿2,￿2,￿1,￿3,￿1,￿2,￿1,￿3,￿1,￿1,￿3,￿2,￿1,￿4,￿3,￿4,￿1,￿2,￿4,￿2,￿3,￿4
31,안전관리론,나,￿1,￿1,￿4,￿1,￿2,￿3,￿3,￿2,￿1,￿4,￿4,￿2,￿2,￿1,￿4,￿2,￿4,￿4,￿1,￿3,￿3,￿2,￿4,￿3,￿4
32,응용역학,나,￿3,￿4,￿1,￿2,￿4,￿2,￿2,￿2,￿3,￿2,￿4,￿4,￿1,￿3,￿3,￿4,￿4,￿3,￿2,￿1,￿3,￿3,￿2,￿1,￿3
33,인사·조직론,나,￿2,￿2,￿1,￿1,￿3,￿4,￿2,￿4,￿4,￿4,￿2,￿4,￿3,￿3,￿1,￿4,￿3,￿1,￿4,￿1,￿4,￿2,￿2,￿3,￿3
34,일어,나,￿1,￿2,￿1,￿3,￿4,￿4,￿1,￿2,￿2,￿3,￿1,￿3,￿3,￿1,￿4,￿2,￿2,￿2,￿3,￿4,￿1,￿4,￿1,￿3,￿1
35,임업경영학,나,￿4,￿3,￿3,￿4,￿1,￿1,￿4,￿3,￿2,￿3,￿2,￿1,￿4,￿1,￿1,￿2,￿2,￿3,￿4,￿4,￿3,￿2,￿3,￿2,￿4
36,자동제어,나,￿2,￿2,￿1,￿4,￿4,￿2,￿3,￿4,￿1,￿1,￿2,￿4,￿2,￿2,￿3,￿3,￿3,￿2,￿1,￿4,￿3,￿2,￿3,￿4,￿1
37,자료구조론,나,￿3,￿3,￿1,￿3,￿2,￿1,￿3,￿4,￿3,￿2,￿4,￿2,￿3,￿1,￿2,￿4,￿1,￿4,￿3,￿1,￿2,￿2,￿2,￿2,￿1
38,재난관리론,나,￿3,￿3,￿2,￿3,￿1,￿2,￿4,￿2,￿3,￿4,￿4,￿2,￿4,￿4,￿3,￿1,￿1,￿2,￿1,￿1,￿2,￿3,￿1,￿4,￿4
39,재배학,나,￿3,￿4,￿1,￿1,￿4,￿1,￿4,￿3,￿3,￿4,￿3,￿4,￿2,￿3,￿2,￿1,￿2,￿1,￿2,￿2,￿2,￿2,￿4,￿2,￿3
40,전기기기,나,￿3,￿3,￿1,￿3,￿4,￿2,￿1,￿4,￿3,￿2,￿2,￿4,￿3,￿4,￿3,￿1,￿2,￿1,￿2,￿1,￿3,￿2,￿4,￿4,￿1
41,전기자기학,나,￿4,￿1,￿2,￿2,￿1,￿4,￿2,￿3,￿1,￿3,￿3,￿1,￿3,￿2,￿4,￿3,￿1,￿2,￿3,￿3,￿1,￿4,￿2,￿4,￿2
42,전달현상,나,￿3,￿3,￿4,￿1,￿3,￿1,￿3,￿1,￿2,￿3,￿4,￿2,￿2,￿4,￿3,￿2,￿2,￿1,￿4,￿3,￿4,￿2,￿4,￿3,￿2
43,전자회로,나,￿3,￿3,￿2,￿1,￿3,￿4,￿4,￿2,￿1,￿1,￿2,￿2,￿4,￿3,￿1,￿3,￿4,￿3,￿2,￿1,￿4,￿1,￿2,￿4,￿3
44,정보보호론,나,￿4,￿3,￿1,￿3,￿4,￿2,￿3,￿1,￿1,￿2,￿4,￿3,￿1,￿1,￿1,￿4,￿1,￿3,￿2,￿2,￿3,￿1,￿2,￿3,￿3
연번,과목명,책형,1번,2번,3번,4번,5번,6번,7번,8번,9번,10번,11번,12번,13번,14번,15번,16번,17번,18번,19번,20번,21번,22번,23번,24번,25번
45,조경학,나,￿4,￿3,￿4,￿2,￿3,￿4,￿4,￿3,￿1,￿1,￿2,￿1,￿1,￿4,￿2,￿2,￿1,￿1,￿3,￿3,￿4,￿2,￿3,￿4,￿2
46,조림학,나,￿2,￿2,￿3,￿1,￿1,￿3,￿2,￿3,￿1,￿4,￿4,￿1,￿3,￿4,￿1,￿2,￿2,￿1,￿3,￿2,￿3,￿3,￿4,￿4,￿4
47,중국어,나,￿3,￿1,￿2,￿4,￿1,￿3,￿3,￿4,￿4,￿2,￿3,￿2,￿2,￿4,￿4,￿3,￿2,￿1,￿3,￿2,￿3,￿4,￿1,￿3,￿1
48,토양학,나,￿2,￿1,￿1,￿4,￿2,￿3,￿4,￿1,￿2,￿2,￿4,￿2,￿1,￿1,￿4,￿3,￿3,￿4,￿1,￿3,￿4,￿1,￿3,￿2,￿1
49,토질역학,나,￿3,￿3,￿1,￿2,￿3,￿3,￿2,￿4,￿2,￿1,￿4,￿2,￿1,￿3,￿1,￿4,￿3,￿2,￿1,￿2,￿4,￿4,￿1,￿4,￿2
50,통계학,나,￿2,￿1,￿1,￿1,￿4,￿3,￿4,￿1,￿4,￿4,￿1,￿3,￿4,￿4,￿2,￿1,￿3,￿2,￿4,￿3,￿3,￿2,￿3,￿1,￿2
51,통신이론,나,￿2,￿4,￿1,￿2,￿3,￿3,￿4,￿1,￿4,￿1,￿2,￿3,￿4,￿4,￿3,￿2,￿3,￿1,￿4,￿2,￿2,￿2,￿1,￿4,￿1
52,행정법,나,￿2,￿3,￿1,￿1,￿2,￿1,￿4,￿3,￿1,￿2,￿2,￿4,￿2,￿4,￿3,￿4,￿3,￿2,￿3,￿4,￿1,￿3,￿2,￿3,￿4
53,행정학,나,￿4,￿1,￿3,￿2,￿4,￿3,￿4,￿2,￿3,￿3,￿4,￿1,￿4,￿3,￿2,￿2,￿3,￿2,￿1,￿1,￿4,￿4,￿1,￿2,￿1
54,헌법,나,￿1,￿4,￿1,￿1,￿3,￿2,￿2,￿3,￿2,￿2,￿4,￿1,￿1,￿4,￿2,￿2,￿3,￿4,￿3,￿4,￿1,￿4,￿3,￿4,￿2
55,형법,나,￿1,￿2,￿4,￿3,￿4,￿4,￿2,￿2,￿3,￿1,￿1,￿4,￿4,￿3,￿4,￿2,￿2,￿4,￿2,￿3,￿4,￿3,￿3,￿1,￿3
56,형사소송법,나,￿3,￿1,￿2,￿2,￿4,￿3,￿2,￿2,￿2,￿2,￿4,￿3,￿1,￿3,￿1,￿4,￿3,￿4,￿4,￿1,￿1,￿3,￿4,￿1,￿3
57,형사정책,나,￿1,￿4,￿2,￿4,￿4,￿2,￿1,￿1,￿1,￿3,￿3,￿3,￿4,￿3,￿1,￿3,￿4,￿2,￿4,￿2,￿4,￿2,￿4,￿2,￿2
58,화공열역학,나,￿4,￿2,￿2,￿3,￿1,￿1,￿4,￿4,￿2,￿3,￿2,￿3,￿3,￿2,￿4,￿3,￿4,￿2,￿1,￿2,￿4,￿1,￿1,￿4,￿2
59,화학개론,나,￿2,￿4,￿4,￿2,￿1,￿4,￿4,￿3,￿2,￿1,￿2,￿3,￿3,￿2,￿4,￿4,￿3,￿2,￿3,￿1,￿1,￿3,￿3,￿2,￿1
60,회계학,나,￿4,￿2,￿3,￿4,￿2,￿4,￿4,￿2,￿1,￿3,￿3,￿1,￿3,￿3,￿2,￿4,￿3,￿2,￿4,￿1,￿4,￿2,￿2,￿3,￿1
61,회로이론,나,￿4,￿1,￿3,￿3,￿4,￿1,￿1,￿1,￿3,￿1,￿3,￿2,￿3,￿4,￿3,￿2,￿3,￿2,￿2,￿4,￿1,￿1,￿1,￿2,￿2
