연번,과목명,책형,1번,2번,3번,4번,5번,6번,7번,8번,9번,10번,11번,12번,13번,14번,15번,16번,17번,18번,19번,20번
12,식용작물,B,1,3,4,4,1,2,2,3,3,1,1,3,2,3,4,3,3,1,4,2
,,D,1,4,3,4,1,2,3,2,3,1,1,2,3,3,4,3,3,1,4,2
13,안전관리론,B,2,2,3,1,3,4,4,3,4,1,2,3,4,1,2,3,3,4,4,1
,,D,2,3,2,1,3,4,3,4,4,1,2,4,3,1,2,3,3,4,4,1
연번,과목명,책형,1번,2번,3번,4번,5번,6번,7번,8번,9번,10번,11번,12번,13번,14번,15번,16번,17번,18번,19번,20번
14,영어,B,2,4,2,1,3,4,3,2,1,3,2,1,2,4,3,3,1,3,4,4
,,D,2,2,4,1,3,4,2,3,1,3,2,2,1,4,3,3,1,3,4,4
15,응용역학개론,B,4,3,4,1,1,2,2,3,2,2,1,4,2,2,1,3,3,2,1,3
,,D,4,4,3,1,1,2,3,2,2,2,1,2,4,2,1,3,3,2,1,3
16,임업경영,B,3,1,3,1,2,1,2,4,3,2,3,3,2,4,4,4,2,1,4,2
,,D,3,3,1,1,2,1,4,2,3,2,3,2,3,4,4,4,2,1,4,2
17,자료조직개론,B,2,1,3,2,3,4,3,1,2,1,1,2,3,4,3,4,3,3,4,1
,,D,2,3,1,2,3,4,1,3,2,1,1,3,2,4,3,4,3,3,4,1
18,재난관리론,B,3,4,3,3,2,2,4,1,1,2,1,4,1,4,4,3,4,2,1,2
,,D,3,3,4,3,2,2,1,4,1,2,1,1,4,4,4,3,4,2,1,2
19,재배학개론,B,2,1,3,2,2,1,1,3,4,3,2,2,4,4,3,4,4,4,3,2
,,D,2,3,1,2,2,1,3,1,4,3,2,4,2,4,3,4,4,4,3,2
20,전기기기,B,2,2,3,3,2,1,4,1,4,4,3,3,4,1,2,1,3,2,4,4
,,D,2,3,2,3,2,1,1,4,4,4,3,4,3,1,2,1,3,2,4,4
21,전기이론,B,4,3,4,2,1,4,2,1,4,1,3,1,2,4,3,1,3,2,1,3
,,D,4,4,3,2,1,4,1,2,4,1,3,2,1,4,3,1,3,2,1,3
22,정보보호론,B,2,1,4,1,2,1,4,3,3,4,2,3,1,3,2,4,3,3,1,3
,,D,2,4,1,1,2,1,3,4,3,4,2,1,3,3,2,4,3,3,1,3
23,정보봉사개론,B,4,2,1,4,4,1,4,3,3,4,2,1,3,1,2,2,3,2,1,4
,,D,4,1,2,4,4,1,3,4,3,4,2,3,1,1,2,2,3,2,1,4
24,조림,B,3,2,4,2,3,3,2,1,1,4,3,3,2,1,1,4,4,1,3,4
,,D,3,4,2,2,3,3,1,2,1,4,3,2,3,1,1,4,4,1,3,4
25,지방세법,B,4,2,4,1,3,4,4,2,2,4,4,3,2,2,2,1,1,3,2,3
,,D,4,4,2,1,3,4,2,4,2,4,4,2,3,2,2,1,1,3,2,3
26,지역사회간호,B,4,3,1,2,2,3,3,1,2,1,1,3,4,4,4,1,3,2,4,4
,,D,4,1,3,2,2,3,1,3,2,1,1,4,3,4,4,1,3,2,4,4
연번,과목명,책형,1번,2번,3번,4번,5번,6번,7번,8번,9번,10번,11번,12번,13번,14번,15번,16번,17번,18번,19번,20번
27,지적전산학개론,B,3,1,3,2,2,3,4,2,1,4,3,2,4,3,1,4,2,3,1,3
,,D,3,3,1,2,2,3,2,4,1,4,3,4,2,3,1,4,2,3,1,3
28,지적측량,B,4,3,4,1,2,2,2,1,4,3,1,3,4,4,2,3,3,3,1,4
,,D,4,4,3,1,2,2,1,2,4,3,1,4,3,4,2,3,3,3,1,4
29,컴퓨터일반,B,2,4,2,4,1,2,1,3,3,1,4,3,2,2,3,3,2,3,4,1
,,D,2,2,4,4,1,2,3,1,3,1,4,2,3,2,3,3,2,3,4,1
30,토목설계,B,1,2,4,2,1,1,2,4,4,1,2,2,3,3,2,4,2,1,4,3
,,D,1,4,2,2,1,1,4,2,4,1,2,3,2,3,2,4,2,1,4,3
31,한국사,B,4,1,2,1,4,1,2,3,3,4,2,3,2,3,2,2,4,1,1,3
,,D,4,2,1,1,4,1,3,2,3,4,2,2,3,3,2,2,4,1,1,3
32,행정법총론,B,4,4,2,3,4,1,4,3,1,3,1,4,2,4,2,2,3,3,2,4
,,D,4,2,4,3,4,1,3,4,1,3,1,2,4,4,2,2,3,3,2,4
33,행정학개론
(지방행정 포함),B,4,3,2,1,3,2,1,4,3,4,3,2,1,2,4,1,3,4,4,3
,,D,4,2,3,1,3,2,4,1,3,4,3,1,2,2,4,1,3,4,4,3
34,화학,B,3,3,4,1,3,1,2,3,2,4,1,3,4,1,4,1,2,3,4,1
,,D,3,4,3,1,3,1,3,2,2,4,1,4,3,1,4,1,2,3,4,1
35,화학공학일반,B,2,3,4,4,1,2,1,4,2,4,1,2,3,3,4,2,4,1,3,1
,,D,2,4,3,4,1,2,4,1,2,4,1,3,2,3,4,2,4,1,3,1
36,환경공학개론,B,1,1,4,2,2,3,4,1,3,4,3,1,4,4,1,2,2,4,3,2
,,D,1,4,1,2,2,3,1,4,3,4,3,4,1,4,1,2,2,4,3,2
37,회계학
"(회계원리, 원가회계"
및 정부회계 포함),B,1,3,2,4,3,4,2,3,2,3,4,1,4,1,2,1,1,2,1,3
,,D,1,2,3,4,3,4,3,2,2,3,4,4,1,1,2,1,1,2,1,3
